,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
18,0.06005339622497559,0.033276397312936,0.0009554386138916016,6.05151255198954e-06,0.1,"(50, 50)",60,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 60}",0.5376940133037696,0.5659645232815965,0.5818181818181818,0.49360465116279084,0.6273255813953489,0.5612402671066881,0.04436768196715754,39,0.6221532091097308,0.5750517598343685,0.6272882077479779,0.5700881834215167,0.7247619047619047,0.6238686529750999,0.0556228591856496
19,0.0248016357421875,0.011723994133931739,0.0008121013641357421,2.8220301082499773e-05,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 2}",0.46590909090909105,0.47256097560975613,0.5,0.5000000000000002,0.5000000000000001,0.4875475134621477,0.015248388304501587,331,0.471264367816092,0.5004283572499464,0.5000000000000001,0.5,0.5,0.4943385450132077,0.011538281363401175
20,0.0246675968170166,0.0029592740338941896,0.0008789539337158203,2.8455075130350225e-05,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 3}",0.4625831485587585,0.6006097560975612,0.4784090909090909,0.6084302325581397,0.5796511627906977,0.5456393246335817,0.06260490728104198,74,0.541247233526094,0.5651638466481045,0.5572584078331205,0.549805996472663,0.5661552028218695,0.5559261374603703,0.009430486095363316
21,0.019425630569458008,0.005262292813424768,0.0008276462554931641,1.806740963411276e-05,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 4}",0.5121951219512195,0.5121951219512195,0.5284090909090909,0.5250000000000001,0.525,0.5204988913525499,0.006959249032307466,190,0.5190975940601128,0.5253087741843364,0.5348020434227332,0.522063492063492,0.522063492063492,0.5246670791588333,0.005435177438266544
22,0.017046689987182617,0.00021745321988362698,0.0008481025695800781,3.4234583464957736e-05,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 5}",0.5000000000000001,0.5,0.5,0.5000000000000002,0.5,0.5000000000000001,9.915348612806398e-17,278,0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17
23,0.023453235626220703,0.004445425999141751,0.0008280754089355468,1.574674849033483e-05,0.1,"(50,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 6}",0.5806541019955657,0.5083148558758316,0.5034090909090908,0.519186046511628,0.5183139534883721,0.5260981548938867,0.028119990040788443,147,0.5433533233383308,0.5758906261155137,0.5643891017454236,0.555379188712522,0.585079365079365,0.5648183209982309,0.01471824323675537
24,0.03279690742492676,0.007884656361892822,0.0008614063262939453,2.7879278544021624e-05,0.1,"(50,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 7}",0.5232815964523284,0.5809312638580932,0.5613636363636364,0.5433139534883723,0.4680232558139535,0.535603873697677,0.038646474176711,98,0.5593631755550796,0.5995395159563076,0.629416773094934,0.5734567901234567,0.549347442680776,0.5822247394821108,0.029008047872871263
25,0.019529247283935548,0.0030747243929504352,0.0007955074310302734,1.3448667735804664e-05,0.1,"(50,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 8}",0.6172394678492241,0.443458980044346,0.5272727272727273,0.5075581395348838,0.5604651162790698,0.5311814461771922,0.05778409857987576,115,0.524951809809381,0.5609695152423788,0.5428905917411666,0.5415343915343915,0.5511287477954143,0.5442950112245464,0.011903712831779411
26,0.027549934387207032,0.009100126228437356,0.0008062839508056641,2.127270983711615e-05,0.1,"(50,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 9}",0.3655764966740577,0.49750554323725066,0.47159090909090906,0.46889534883720946,0.5313953488372093,0.46666604205493883,0.05562790271021485,372,0.5790497608338688,0.5157064324980366,0.5116006811409112,0.5291358024691358,0.5232980599647266,0.5317581473813358,0.02440871758535299
27,0.03305773735046387,0.006024391366497788,0.0008933067321777344,7.630458399984502e-05,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'rp__n_components': 10}",0.47505543237250564,0.5230044345898006,0.3761363636363637,0.4781976744186047,0.5755813953488372,0.4854623953046387,0.06567321687490899,344,0.5290747483401156,0.5911865495823516,0.5571519795657727,0.5147971781305114,0.5497707231040564,0.5483962357445615,0.026121943923732325
