,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.05166015625,0.001839703660786093,0.0008683681488037109,0.00016584197564713135,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.5054012345679011,0.48842592592592565,0.4999999999999999,0.4937500000000001,0.5000000000000001,0.49751788116988876,0.005861573542449003,56,0.47444358178053836,0.4786490683229813,0.5,0.5208333333333333,0.5000000000000001,0.49478519668737064,0.01677527767588646
1,0.06614847183227539,0.018964078578222517,0.0008035182952880859,6.865352303642115e-05,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 3}",0.48765432098765404,0.5563271604938269,0.47530864197530853,0.5166666666666667,0.5208333333333334,0.5113297570993555,0.028340009404283335,29,0.5021997929606625,0.5932971014492754,0.5010998964803313,0.6105037409700724,0.5385706914344686,0.549134244658962,0.045471536185296764
2,0.04513711929321289,0.004207074017262755,0.000918436050415039,0.00011443499708753666,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 4}",0.4999999999999997,0.4999999999999997,0.5293209876543209,0.4937500000000001,0.5000000000000001,0.5046437929325118,0.012601764436322918,37,0.500097049689441,0.5052083333333334,0.49534161490683226,0.5208333333333333,0.5000000000000001,0.504296066252588,0.008838365889396372
3,0.019272279739379884,0.0016568141273641762,0.0007815361022949219,0.00015304712390384233,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 2}",0.4999999999999997,0.4999999999999997,0.4999999999999999,0.5000000000000001,0.5000000000000001,0.4999999999999999,1.7534017153717175e-16,41,0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.021666937153402e-17
4,0.022482824325561524,0.0021103671532615455,0.0007191658020019531,0.00010417747216444756,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 3}",0.520833333333333,0.4999999999999997,0.5501543209876543,0.48750000000000004,0.4937500000000001,0.5105233340414984,0.02280899888952661,33,0.5036555383022774,0.5229360766045549,0.5088638716356108,0.5183017285861713,0.5167537409700722,0.5141021912197374,0.006917758457853059
5,0.06347222328186035,0.005572598534954327,0.000766754150390625,7.979980609878393e-05,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 4}",0.5108024691358022,0.5964506172839504,0.5462962962962962,0.5541666666666667,0.6687500000000001,0.5751549111252743,0.054029789013275924,13,0.5855331262939958,0.6460274327122154,0.5553830227743272,0.6596362229102167,0.5878482972136223,0.6068856203808755,0.03946029340265245
6,0.03438830375671387,0.005173638591925924,0.0007149219512939453,0.00010508441613039829,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 2}",0.6766975308641974,0.7415123456790123,0.6875,0.5375000000000001,0.7687500000000002,0.6825038949082927,0.07981911528317703,1,0.7399068322981367,0.7247347308488613,0.5610442546583851,0.6738583591331269,0.7252644478844169,0.6849617249645854,0.06588473339339555
7,0.03894500732421875,0.005749600830008917,0.0006902217864990234,0.00010583443425662361,0.1,"(25,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 3}",0.5578703703703701,0.6365740740740738,0.6774691358024689,0.5687500000000001,0.76875,0.6417799730897245,0.07707818830386025,9,0.6517210144927535,0.6499741200828157,0.6388134057971016,0.6706172600619196,0.6327560629514963,0.6487763726772174,0.012984921322695662
8,0.032922983169555664,0.012662140232480017,0.0007834434509277344,0.00019143565896462893,0.1,"(25,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 4}",0.520833333333333,0.4629629629629627,0.556327160493827,0.5166666666666667,0.5083333333333334,0.513026697825933,0.029981038805428344,25,0.5084109730848861,0.5485248447204969,0.5032026397515529,0.5694014447884417,0.539280185758514,0.5337640176207784,0.024880156861348687
9,0.06512913703918458,0.005016832921302502,0.0007607460021972657,0.00014901549524969253,0.1,"(25, 25)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 2}",0.4999999999999997,0.4999999999999997,0.4999999999999999,0.46875,0.5000000000000001,0.49378585086042054,0.012473031350995575,60,0.5,0.5,0.5,0.5923471362229102,0.5000000000000001,0.5184694272445821,0.036938854489164084
10,0.03678154945373535,0.003677285362756807,0.0009340286254882812,0.0001553725862631796,0.1,"(25, 25)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 3}",0.6049382716049381,0.6612654320987652,0.7129629629629629,0.5520833333333334,0.8020833333333335,0.6666268323773104,0.08636237744585913,5,0.6914466873706003,0.6852355072463768,0.6591938405797101,0.6606198400412796,0.6483810629514963,0.6689753876378927,0.016486181177815674
