,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.06222300529479981,0.02415161236597184,0.0006925106048583984,5.3111183544981716e-06,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.49307095343680724,0.5579268292682927,0.5284090909090908,0.43720930232558153,0.5578488372093023,0.5150261922564107,0.04544133710313789,39,0.5728385807096451,0.6220104233597487,0.4582801191996595,0.5914638447971781,0.6134215167548501,0.5716028969642164,0.05920768835536034
1,0.0337376594543457,0.006639795854407274,0.0007027626037597656,1.173891348205298e-05,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 3}",0.5676274944567629,0.5595898004434591,0.44886363636363635,0.5470930232558142,0.5712209302325582,0.5389001753823791,0.045767536658049716,10,0.6175126722353109,0.5203648175912043,0.5518305661983823,0.5241622574955908,0.5039329805996471,0.543560658824027,0.040054936179241434
2,0.04128217697143555,0.013062472872431551,0.0006983280181884766,6.532843093224775e-06,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 4}",0.5604212860310422,0.5679046563192905,0.5261363636363636,0.5183139534883722,0.5183139534883722,0.5384363712483395,0.021537321046801873,14,0.6466231170129221,0.5580067109302492,0.5594934014474247,0.6031569664902998,0.5637213403880069,0.5862003072537805,0.03450184306499929
3,0.040925025939941406,0.00856498648673852,0.000773763656616211,9.999794780528375e-05,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 5}",0.5049889135254989,0.45648558758314867,0.5715909090909091,0.4799418604651164,0.530232558139535,0.5085320135763273,0.04000794723189424,47,0.5259156136217605,0.5516527450560433,0.6078118348233291,0.5656613756613755,0.5347619047619047,0.5571606947848825,0.02879617323241842
4,0.07170782089233399,0.04369725872474737,0.0007516384124755859,6.917995166679326e-05,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 6}",0.5263303769401332,0.5385254988913526,0.4534090909090908,0.6087209302325582,0.488953488372093,0.5231097376814905,0.051969095920459,21,0.5040515456557436,0.5798350824587706,0.546509152830992,0.6981305114638446,0.5704409171075837,0.579793441903387,0.0647082873091107
5,0.024453258514404295,0.0051981521949868575,0.0007061481475830079,5.7097023706008835e-05,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 2}",0.569567627494457,0.4722838137472285,0.4738636363636364,0.49215116279069776,0.5000000000000001,0.5016915820755158,0.03578903439029303,52,0.5811915470836011,0.5361961876204755,0.5106428267347808,0.5738095238095238,0.4995414462081128,0.5402763062912989,0.032718963648648715
6,0.022593307495117187,0.007774307982128958,0.0006917953491210937,0.00012239376072014372,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 3}",0.5000000000000002,0.48780487804878064,0.4636363636363636,0.4590116279069769,0.48750000000000004,0.47968889118066665,0.01564950991050559,89,0.4964303562504461,0.5,0.5125585355470414,0.4989417989417989,0.4988536155202821,0.5013568612519138,0.005721674512854158
7,0.0329289436340332,0.010834474546058426,0.0007573127746582031,0.00015204860338040665,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 4}",0.5365853658536586,0.4484478935698449,0.4681818181818182,0.5418604651162792,0.5802325581395349,0.5147352874011978,0.04911721033424609,40,0.5109409580923824,0.6283643892339544,0.6033418475947212,0.5453968253968254,0.5453968253968252,0.5666881691429417,0.04280617349333544
8,0.026166772842407225,0.012209283033940654,0.0006509780883789063,5.987297693482425e-06,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 5}",0.5000000000000001,0.5,0.5,0.4845930232558141,0.5,0.49695528792912513,0.006135106883680174,61,0.5,0.5,0.5000000000000001,0.5524867724867725,0.5064021164021164,0.5117777777777778,0.02050496590385305
9,0.02378506660461426,0.004910227941348861,0.0007174968719482422,0.00012061441101555569,0.1,"(50,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'pca__n_components': 6}",0.4972283813747229,0.48004434589800443,0.5443181818181818,0.5058139534883721,0.44680232558139543,0.49490014346119005,0.03185750349312578,65,0.5093881630613265,0.5719997144285,0.49499787143465324,0.5399470899470898,0.5297883597883597,0.5292242397319858,0.026495105994106188
10,0.02031102180480957,0.00641339295753073,0.0006306171417236328,4.4153421505222174e-05,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 2}",0.4401330376940134,0.5083148558758316,0.4409090909090909,0.44069767441860475,0.47383720930232565,0.46085911890151837,0.027127902607852878,97,0.4683551081602056,0.4575569358178054,0.5494891443167307,0.5207231040564374,0.4905467372134038,0.4973342059129166,0.03386817742483674
