,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.13565096855163575,0.004831331426116485,0.005764579772949219,9.03790211165376e-05,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 2}",0.5408950617283949,0.509259259259259,0.4999999999999999,0.5000000000000001,0.5000000000000001,0.5100692231428368,0.01586138058838572,221,0.5448046066252588,0.5020380434782609,0.5,0.5000000000000001,0.5000000000000001,0.5093685300207039,0.017735611758940287
1,0.1294556140899658,0.001959535549490359,0.005768775939941406,0.00025088922000345677,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 3}",0.5262345679012344,0.520833333333333,0.4999999999999999,0.5166666666666667,0.5937500000000001,0.5314062389349196,0.0322789233007503,84,0.5713962215320911,0.5,0.5,0.56546697626419,0.5294278895768834,0.5332582174746329,0.030720680224353113
2,0.12665038108825682,0.00168145089502306,0.005764150619506836,9.486070957863365e-05,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 4}",0.4999999999999997,0.4999999999999997,0.45061728395061723,0.5000000000000001,0.5000000000000001,0.49008568798243746,0.01978135668771702,309,0.5,0.5,0.48191640786749484,0.5000000000000001,0.5000000000000001,0.496383281573499,0.007233436853002085
3,0.1327972412109375,0.008663668443010203,0.006235551834106445,0.00101811406991094,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 5}",0.4999999999999997,0.4999999999999997,0.45061728395061723,0.5000000000000001,0.5000000000000001,0.49008568798243746,0.01978135668771702,309,0.5,0.5,0.48191640786749484,0.5000000000000001,0.5000000000000001,0.496383281573499,0.007233436853002085
4,0.12657508850097657,0.0006711713387175316,0.005701303482055664,0.00012772802256474556,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 6}",0.4999999999999997,0.4999999999999997,0.45061728395061723,0.5000000000000001,0.5000000000000001,0.49008568798243746,0.01978135668771702,309,0.5,0.5,0.48191640786749484,0.5000000000000001,0.5000000000000001,0.496383281573499,0.007233436853002085
5,0.12658238410949707,0.0014772781249940967,0.005768203735351562,0.00014140707025920673,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 7}",0.4999999999999997,0.4999999999999997,0.45061728395061723,0.5000000000000001,0.5000000000000001,0.49008568798243746,0.01978135668771702,309,0.5,0.5,0.48191640786749484,0.5000000000000001,0.5000000000000001,0.496383281573499,0.007233436853002085
6,0.13078370094299316,0.003620153931214432,0.006189775466918945,0.0005115028751009758,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 8}",0.4999999999999997,0.4999999999999997,0.45061728395061723,0.5000000000000001,0.5000000000000001,0.49008568798243746,0.01978135668771702,309,0.5,0.5,0.48191640786749484,0.5000000000000001,0.5000000000000001,0.496383281573499,0.007233436853002085
7,0.13124146461486816,0.00271368280862097,0.005798149108886719,0.00017386168080862983,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 9}",0.4999999999999997,0.4999999999999997,0.45061728395061723,0.5000000000000001,0.5000000000000001,0.49008568798243746,0.01978135668771702,309,0.5,0.5,0.48191640786749484,0.5000000000000001,0.5000000000000001,0.496383281573499,0.007233436853002085
8,0.1297135353088379,0.004714406234035836,0.005745506286621094,0.00014428170534626223,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 10}",0.4999999999999997,0.4999999999999997,0.45061728395061723,0.5000000000000001,0.5000000000000001,0.49008568798243746,0.01978135668771702,309,0.5,0.5,0.48191640786749484,0.5000000000000001,0.5000000000000001,0.496383281573499,0.007233436853002085
9,0.1251406192779541,0.0011119446902819157,0.005636167526245117,6.17664088145123e-05,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 15}",0.4999999999999997,0.4999999999999997,0.45061728395061723,0.5000000000000001,0.5000000000000001,0.49008568798243746,0.01978135668771702,309,0.5,0.5,0.48191640786749484,0.5000000000000001,0.5000000000000001,0.496383281573499,0.007233436853002085
10,0.1283473014831543,0.004008635396956527,0.0057064533233642575,8.779744023923415e-05,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 20}",0.4999999999999997,0.4999999999999997,0.45061728395061723,0.5000000000000001,0.5000000000000001,0.49008568798243746,0.01978135668771702,309,0.5,0.5,0.48191640786749484,0.5000000000000001,0.5000000000000001,0.496383281573499,0.007233436853002085
11,0.12627196311950684,0.0015619224921963439,0.005620098114013672,4.9322944033079566e-05,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 25}",0.4999999999999997,0.4999999999999997,0.45061728395061723,0.5000000000000001,0.5000000000000001,0.49008568798243746,0.01978135668771702,309,0.5,0.5,0.48191640786749484,0.5000000000000001,0.5000000000000001,0.496383281573499,0.007233436853002085
