,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.054709863662719724,0.006098901161760163,0.0012328624725341797,0.00017147776267486566,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 2}",0.4999999999999997,0.4999999999999997,0.4999999999999999,0.48750000000000004,0.5000000000000001,0.49751434034416814,0.004989212540398179,377,0.5,0.5,0.5,0.49690402476780193,0.5000000000000001,0.49938080495356035,0.001238390092879238
1,0.09821758270263672,0.032065581559919315,0.001321125030517578,0.00018426393323011249,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 3}",0.5416666666666664,0.4999999999999997,0.5416666666666665,0.48750000000000004,0.5000000000000001,0.5142447418738049,0.022918510823817132,9,0.5281444099378882,0.5,0.5177277432712215,0.53125,0.5000000000000001,0.5154244306418219,0.013366958435787547
2,0.09364304542541504,0.02797559850447108,0.0015825748443603516,0.0011896084683984949,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 4}",0.4999999999999997,0.4999999999999997,0.4999999999999999,0.5000000000000001,0.5000000000000001,0.4999999999999999,1.7534017153717175e-16,157,0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.021666937153402e-17
3,0.082110595703125,0.018497300835255293,0.0009281158447265625,0.00014496840894836135,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 5}",0.4999999999999997,0.4999999999999997,0.4999999999999999,0.5000000000000001,0.5000000000000001,0.4999999999999999,1.7534017153717175e-16,157,0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.021666937153402e-17
4,0.08977432250976562,0.02294275790103334,0.0009538173675537109,0.00019233223081772575,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 6}",0.4999999999999997,0.4999999999999997,0.4999999999999999,0.5000000000000001,0.5000000000000001,0.4999999999999999,1.7534017153717175e-16,157,0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.021666937153402e-17
5,0.07750425338745118,0.018069632952789016,0.001115131378173828,0.0004819653696400514,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 7}",0.4999999999999997,0.4999999999999997,0.4999999999999999,0.5000000000000001,0.5000000000000001,0.4999999999999999,1.7534017153717175e-16,157,0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.021666937153402e-17
6,0.0681833267211914,0.016446817233566217,0.0007442474365234375,3.4791667695155356e-05,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 8}",0.4999999999999997,0.4999999999999997,0.4999999999999999,0.5000000000000001,0.5000000000000001,0.4999999999999999,1.7534017153717175e-16,157,0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.021666937153402e-17
7,0.0744102954864502,0.020744801626741385,0.0008023738861083985,0.0001438257069788101,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 9}",0.4999999999999997,0.4999999999999997,0.4999999999999999,0.5000000000000001,0.5000000000000001,0.4999999999999999,1.7534017153717175e-16,157,0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.021666937153402e-17
8,0.08656888008117676,0.02068542309823605,0.0028599262237548827,0.003749514031482661,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 10}",0.4999999999999997,0.4999999999999997,0.4999999999999999,0.5000000000000001,0.5000000000000001,0.4999999999999999,1.7534017153717175e-16,157,0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.021666937153402e-17
9,0.09230232238769531,0.021461223748115647,0.0011854171752929688,9.39908816651975e-05,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 15}",0.4999999999999997,0.4999999999999997,0.4999999999999999,0.5000000000000001,0.5000000000000001,0.4999999999999999,1.7534017153717175e-16,157,0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.021666937153402e-17
10,0.09230179786682129,0.028436792309658485,0.001092672348022461,0.00028242135423072937,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 20}",0.4999999999999997,0.4999999999999997,0.4999999999999999,0.5000000000000001,0.5000000000000001,0.4999999999999999,1.7534017153717175e-16,157,0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.021666937153402e-17
11,0.08875136375427246,0.02217458230603973,0.001800870895385742,0.0012161539721623313,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 25}",0.4999999999999997,0.4999999999999997,0.4999999999999999,0.5000000000000001,0.5000000000000001,0.4999999999999999,1.7534017153717175e-16,157,0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.021666937153402e-17
12,0.11141204833984375,0.03402629503171054,0.001716947555541992,0.0008852063954335207,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 30}",0.4999999999999997,0.4999999999999997,0.4999999999999999,0.5000000000000001,0.5000000000000001,0.4999999999999999,1.7534017153717175e-16,157,0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.021666937153402e-17
13,0.09375958442687989,0.018695337047686035,0.0011404991149902345,0.00013584073826343988,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 35}",0.4999999999999997,0.4999999999999997,0.4999999999999999,0.5000000000000001,0.5000000000000001,0.4999999999999999,1.7534017153717175e-16,157,0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.021666937153402e-17
14,0.0882634162902832,0.026401738581748345,0.001082468032836914,0.00020967562769106163,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 40}",0.4999999999999997,0.4999999999999997,0.4999999999999999,0.5000000000000001,0.5000000000000001,0.4999999999999999,1.7534017153717175e-16,157,0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.021666937153402e-17
15,0.08543386459350585,0.021446218736565804,0.001097393035888672,9.5168550062402e-05,0.1,"(50, 50)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 45}",0.4999999999999997,0.4999999999999997,0.4999999999999999,0.5000000000000001,0.5000000000000001,0.4999999999999999,1.7534017153717175e-16,157,0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.021666937153402e-17
16,0.08112955093383789,0.01835240557330389,0.001046895980834961,0.00030989015549019993,0.1,"(50, 50)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 50}",0.4999999999999997,0.4999999999999997,0.4999999999999999,0.5000000000000001,0.5000000000000001,0.4999999999999999,1.7534017153717175e-16,157,0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.021666937153402e-17
17,0.06762161254882812,0.016669770515642533,0.0007863998413085938,0.00011983920562779543,0.1,"(50, 50)",55,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 55}",0.4999999999999997,0.4999999999999997,0.4999999999999999,0.5000000000000001,0.5000000000000001,0.4999999999999999,1.7534017153717175e-16,157,0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.021666937153402e-17
18,0.08226161003112793,0.02015063977866029,0.001210165023803711,0.00020776016601017875,0.1,"(50, 50)",60,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 60}",0.4999999999999997,0.4999999999999997,0.4999999999999999,0.5000000000000001,0.5000000000000001,0.4999999999999999,1.7534017153717175e-16,157,0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.021666937153402e-17
19,0.02197108268737793,0.0011474518818383817,0.0008637428283691407,0.00018661041529031215,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 2}",0.4999999999999997,0.4999999999999997,0.4999999999999999,0.5000000000000001,0.5000000000000001,0.4999999999999999,1.7534017153717175e-16,157,0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.021666937153402e-17
20,0.03818821907043457,0.01811155826723054,0.0008327484130859375,0.0001790887247114701,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 3}",0.4999999999999997,0.4999999999999997,0.4999999999999999,0.5000000000000001,0.5000000000000001,0.4999999999999999,1.7534017153717175e-16,157,0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.021666937153402e-17
21,0.06837096214294433,0.01830284310283929,0.0007136344909667968,0.00013827417609998867,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 4}",0.4999999999999999,0.4999999999999999,0.5,0.49999999999999994,0.5,0.5,7.457879926759313e-17,85,0.5,0.5,0.5,0.5,0.5,0.5,0.0
22,0.06372075080871582,0.019121854271858862,0.0008111476898193359,0.0002399064558528852,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 5}",0.4999999999999999,0.4999999999999999,0.5,0.49999999999999994,0.5,0.5,7.457879926759313e-17,85,0.5,0.5,0.5,0.5,0.5,0.5,0.0
23,0.06777777671813964,0.02224441650444801,0.0008694171905517578,0.00019342507733735622,0.1,"(50,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 6}",0.4999999999999999,0.4999999999999999,0.5,0.49999999999999994,0.5,0.5,7.457879926759313e-17,85,0.5,0.5,0.5,0.5,0.5,0.5,0.0
24,0.08351521492004395,0.03259602272431704,0.0009549140930175781,0.00013000879203488725,0.1,"(50,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 7}",0.4999999999999999,0.4999999999999999,0.5,0.49999999999999994,0.5,0.5,7.457879926759313e-17,85,0.5,0.5,0.5,0.5,0.5,0.5,0.0
25,0.07231979370117188,0.022388064133412336,0.0007653713226318359,0.00015345286537984552,0.1,"(50,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 8}",0.4999999999999999,0.4999999999999999,0.5,0.49999999999999994,0.5,0.5,7.457879926759313e-17,85,0.5,0.5,0.5,0.5,0.5,0.5,0.0
26,0.05990147590637207,0.018542114407787066,0.0006892204284667969,4.788200159291338e-05,0.1,"(50,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 9}",0.4999999999999999,0.4999999999999999,0.5,0.49999999999999994,0.5,0.5,7.457879926759313e-17,85,0.5,0.5,0.5,0.5,0.5,0.5,0.0
27,0.05766744613647461,0.014299298042745018,0.0006389617919921875,5.356730144494483e-06,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 10}",0.4999999999999999,0.4999999999999999,0.5,0.49999999999999994,0.5,0.5,7.457879926759313e-17,85,0.5,0.5,0.5,0.5,0.5,0.5,0.0
28,0.05323824882507324,0.01561807572283548,0.0006403923034667969,8.639836667901373e-06,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 15}",0.4999999999999999,0.4999999999999999,0.5,0.49999999999999994,0.5,0.5,7.457879926759313e-17,85,0.5,0.5,0.5,0.5,0.5,0.5,0.0
29,0.06347064971923828,0.019353806922716713,0.0007868766784667969,0.00016562481374592363,0.1,"(50,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 20}",0.4999999999999999,0.4999999999999999,0.5,0.49999999999999994,0.5,0.5,7.457879926759313e-17,85,0.5,0.5,0.5,0.5,0.5,0.5,0.0
30,0.06892223358154297,0.021940065826277503,0.0007686138153076172,0.00017777819440460504,0.1,"(50,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 25}",0.4999999999999999,0.4999999999999999,0.5,0.49999999999999994,0.5,0.5,7.457879926759313e-17,85,0.5,0.5,0.5,0.5,0.5,0.5,0.0
31,0.0645294189453125,0.018607875862343342,0.0007185459136962891,9.72924730628827e-05,0.1,"(50,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'ica__n_components': 30}",0.4999999999999999,0.4999999999999999,0.5,0.49999999999999994,0.5,0.5,7.457879926759313e-17,85,0.5,0.5,0.5,0.5,0.5,0.5,0.0
